Geo_FIPS,Geo_NAME,Geo_GEOID,Geo_AREALAND,Geo_AREAWATR,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T128_001,SE_T128_002,SE_T128_009,SE_T128_010,SE_T128_003,SE_T128_004,SE_T128_005,SE_T128_006,SE_T128_007,SE_T128_008,SE_T129_001,SE_T129_002,SE_T129_003,SE_T129_004,SE_T129_005,SE_T129_006,SE_T129_007,SE_T129_008,SE_T129_009,SE_T129_010
53033032322,"Census Tract 323.22, King County, Washington",14000US53033032322,4625052,0,3621,3621,2027.728,1.785742637,1787,1371,1290,81,85,9,22,20,17,263,1787,1524,92,357,476,301,214,66,18,263
53033032323,"Census Tract 323.23, King County, Washington",14000US53033032323,3291842,0,5666,5666,4457.952,1.270987356,2690,2360,1992,368,99,26,23,80,0,102,2690,2588,253,791,639,488,278,139,0,102
53033032324,"Census Tract 323.24, King County, Washington",14000US53033032324,2048401,0,5317,5317,6722.788,0.790892081,3024,2474,2149,325,151,14,56,215,0,114,3024,2910,679,1021,337,411,402,42,18,114
53033032325,"Census Tract 323.25, King County, Washington",14000US53033032325,2212936,0,5114,5114,5985.351,0.854419403,2892,2225,2076,149,288,27,34,137,0,181,2892,2711,250,953,616,460,299,108,25,181
53033032326,"Census Tract 323.26, King County, Washington",14000US53033032326,10460418,0,4272,4272,1057.743,4.038790141,2102,1664,1557,107,127,0,0,36,9,266,2102,1836,134,322,600,368,282,82,48,266
53033032327,"Census Tract 323.27, King County, Washington",14000US53033032327,16127862,106609,3995,3995,641.5607,6.227002596,1359,1138,1053,85,46,9,13,9,0,144,1359,1215,18,181,366,366,206,62,16,144
53033032328,"Census Tract 323.28, King County, Washington",14000US53033032328,8504402,0,3376,3376,1028.15,3.283568109,1660,1344,1240,104,43,10,7,0,19,237,1660,1423,100,260,351,395,226,72,19,237
53033032329,"Census Tract 323.29, King County, Washington",14000US53033032329,9669295,0,8697,8697,2329.552,3.73333583,4319,3835,3221,614,111,0,17,42,96,218,4319,4101,149,637,1500,905,778,50,82,218
53033032401,"Census Tract 324.01, King County, Washington",14000US53033032401,55949550,1058812,5733,5733,265.3891,21.60224372,2695,2513,2267,246,72,0,11,11,0,88,2695,2607,255,130,492,698,764,186,82,88
53033032402,"Census Tract 324.02, King County, Washington",14000US53033032402,25135349,635969,6377,6377,657.0967,9.704812532,3485,3037,2734,303,127,44,0,0,0,277,3485,3208,189,198,520,868,1057,328,48,277
53033032500,"Census Tract 325, King County, Washington",14000US53033032500,213917141,3892704,5399,5399,65.36805,82.59387148,2961,2539,2127,412,65,13,18,47,30,249,2961,2712,206,196,583,621,679,373,54,249
53033032601,"Census Tract 326.01, King County, Washington",14000US53033032601,61321771,1099683,2624,2624,110.8273,23.67646954,1316,1125,1018,107,22,0,11,46,0,112,1316,1204,132,275,161,229,309,74,24,112
53033032602,"Census Tract 326.02, King County, Washington",14000US53033032602,30181212,645284,12602,12602,1081.435,11.6530316,6011,4824,4211,613,298,0,14,127,37,711,6011,5300,520,820,852,1027,1452,534,95,711
53033032702,"Census Tract 327.02, King County, Washington",14000US53033032702,510945718,12517232,6775,6775,34.34253,197.2772569,3789,3213,2696,517,68,0,0,19,96,393,3789,3396,195,528,655,848,814,308,48,393
53033032703,"Census Tract 327.03, King County, Washington",14000US53033032703,10319396,175463,2262,2262,567.7225,3.98434124,1249,1048,947,101,32,7,9,33,16,104,1249,1145,241,238,174,228,153,104,7,104
53033032704,"Census Tract 327.04, King County, Washington",14000US53033032704,17160818,447183,6535,6535,986.2916,6.625829154,3197,2786,2420,366,40,12,12,72,36,239,3197,2958,471,709,504,504,674,69,27,239
53033032800,"Census Tract 328, King County, Washington",14000US53033032800,1390296741,27317733,2352,2352,4.381548,536.7965813,1347,1235,1085,150,12,0,15,17,8,60,1347,1287,143,136,170,264,380,143,51,60
